model,node,prompt_id,prompt_type,n_shown,papers_shown,papers_selected,n_selected,cited_not_shown,n_cited_not_shown,n_fabricated,hallucination_rate
gpt-4.1,3,N3P107,position paper,30,SEED_94; SEED_92; N0P55; SEED_54; N1P42; N1P22; N1P21; N0P33; N2P6; N2P118; SEED_89; N2P26; N1P11; N2P57; N0P50; N1P74; N2P55; N0P118; SEED_118; N1P43; N0P60; N1P111; N0P78; N0P109; N0P83; SEED_30; SEED_67; N0P107; SEED_32; N2P5,N1P22; N1P42; SEED_118; SEED_89; SEED_54; SEED_32; SEED_30,7,,0,0,0.0
gpt-4.1,3,N3P108,position paper,30,N2P104; N1P80; N1P44; SEED_15; N0P31; N2P76; N0P2; N2P81; N1P38; N1P34; N0P101; SEED_74; N0P108; N1P117; N1P30; N0P77; N2P99; N2P45; N0P27; N2P29; SEED_34; N1P26; SEED_9; SEED_119; N0P104; N2P75; N0P41; N1P76; SEED_59; SEED_22,N1P80; N1P38; SEED_15; N0P2; N2P104; N0P104; SEED_59; SEED_22; N2P81; N0P31,10,,0,0,0.0
gpt-4.1,3,N3P109,literature review,30,N2P100; N0P116; N2P104; N2P93; N2P97; N2P48; N2P41; N1P3; N1P79; N0P16; SEED_0; SEED_11; N0P23; N1P10; N1P62; N1P110; N2P102; SEED_43; N2P87; SEED_2; N1P89; N0P95; N0P14; N0P77; N1P16; N2P113; N2P59; N2P18; N0P85; SEED_66,N2P100; N2P93; N2P59; N2P87; N0P85; N0P16; SEED_0; N2P104; N2P48; N1P89,10,,0,0,0.0
gpt-4.1,3,N3P11,literature review,30,SEED_0; N0P59; SEED_116; SEED_58; SEED_14; N0P15; N0P57; SEED_23; SEED_93; SEED_101; SEED_73; N1P19; N2P29; SEED_52; N1P3; N2P11; SEED_13; SEED_7; N2P5; N1P45; N2P58; N2P47; N0P38; N0P97; N2P111; N0P107; SEED_68; SEED_54; N2P103; N2P42,N1P3; SEED_58; SEED_0; SEED_13; SEED_23; SEED_14; N1P19; N0P59; SEED_93; N0P15,10,,0,0,0.0
gpt-4.1,3,N3P110,position paper,30,N0P77; N1P92; N1P49; N0P6; N0P7; SEED_85; N1P28; N0P62; N1P115; N2P22; SEED_109; N2P6; N0P71; N0P81; N0P98; N2P40; N2P43; N2P41; SEED_91; SEED_86; N2P0; SEED_0; N2P100; N2P108; SEED_60; N0P70; N0P17; SEED_42; N0P93; SEED_32,N0P77; N1P92; N1P49; N1P115; N0P93; SEED_85; SEED_86; N0P7; SEED_0; N2P0,10,,0,0,0.0
gpt-4.1,3,N3P111,literature review,30,N1P47; N1P101; N0P26; N2P77; SEED_5; N2P51; N1P3; N2P49; N2P86; SEED_48; N2P5; N2P46; SEED_99; N0P51; SEED_34; N1P46; N0P42; N1P75; N1P44; SEED_103; N0P38; N2P55; N1P33; N1P80; SEED_86; N1P39; SEED_70; N1P110; N0P91; SEED_25,N1P47; N2P77; N1P101; N0P26; N2P49; SEED_25; SEED_103; N2P86; N2P51; SEED_99,10,,0,0,0.0
gpt-4.1,3,N3P112,literature review,30,SEED_66; N1P84; N1P80; N0P117; N0P106; N1P116; N0P104; N2P59; SEED_78; SEED_62; N1P101; SEED_12; SEED_59; N2P64; N0P31; N1P47; N0P0; SEED_65; SEED_84; SEED_72; SEED_93; N1P110; N2P38; N2P39; N0P111; N0P67; N0P23; N2P31; N2P104; N1P33,N2P38; N1P80; N1P110; N0P117; N0P106; N2P64; N2P59; N1P84; N1P116; SEED_66,10,,0,0,0.0
gpt-4.1,3,N3P113,literature review,30,N2P108; SEED_117; N1P88; SEED_3; SEED_85; N1P23; SEED_63; N2P4; N0P66; N2P5; N0P72; N1P115; N0P115; N0P95; N0P63; N1P66; N0P19; N1P100; N1P34; SEED_19; N2P32; N1P77; SEED_70; N2P69; N2P64; N2P111; N1P71; SEED_41; SEED_83; SEED_89,N2P108; N1P88; N1P23; N0P66; N2P64; SEED_3; SEED_63; SEED_89; SEED_117; SEED_85,10,,0,0,0.0
gpt-4.1,3,N3P114,literature review,30,N2P1; N1P40; N1P15; SEED_21; SEED_40; N2P89; N2P18; SEED_47; SEED_46; N2P58; SEED_59; N2P101; N2P80; N2P45; N0P45; N1P76; N0P109; N1P103; N2P66; N1P30; SEED_100; N0P74; N0P38; N0P110; N1P104; N0P116; N2P87; N2P9; N1P115; SEED_98,N2P1; N2P89; N2P18; N2P58; SEED_98; N1P15; N1P115; SEED_46; SEED_21; SEED_59,10,,0,0,0.0
gpt-4.1,3,N3P115,literature review,30,N2P9; N2P88; N1P107; N2P51; N2P72; N1P61; N2P49; N0P97; N2P119; SEED_76; N2P17; SEED_4; N0P57; N1P54; N1P30; N1P62; N0P117; N1P94; N1P4; N2P106; N0P107; N0P70; SEED_100; N0P81; N1P26; N1P63; N2P42; N0P64; N2P19; N2P105,N2P9; N2P88; N2P51; N2P49; N2P72; N1P61; N0P97; N1P107; N1P54,9,,0,0,0.0
gpt-4.1,3,N3P116,literature review,30,N1P51; N0P25; N2P114; N2P119; N1P55; SEED_62; N0P115; N0P71; SEED_39; N0P67; N1P43; N1P48; N1P46; SEED_97; N1P66; N2P118; N1P62; SEED_89; N2P64; N2P15; N0P100; N1P17; SEED_90; N0P80; N0P32; N2P45; N1P69; N2P26; N2P94; SEED_112,N1P51; N0P115; N2P114; N1P55; N0P67; N2P64; SEED_90; SEED_39; SEED_112,9,,0,0,0.0
gpt-4.1,3,N3P117,literature review,30,N2P84; N2P23; N0P113; N2P117; SEED_38; N2P48; SEED_64; N0P84; N2P32; N0P37; N1P63; N1P29; N1P42; SEED_100; N0P6; N1P96; SEED_27; SEED_111; N2P118; SEED_119; N1P3; N2P7; N0P10; N0P65; SEED_45; N2P6; N0P94; SEED_62; SEED_4; N2P57,N2P84; N1P63; N2P57; N0P10; N0P65; N2P48; N0P37; N1P42; N1P29; SEED_27,10,,0,0,0.0
gpt-4.1,3,N3P118,literature review,30,N0P85; N1P48; SEED_110; N1P117; SEED_106; N1P118; SEED_111; SEED_70; N0P59; N1P94; SEED_79; SEED_9; SEED_80; SEED_77; N0P26; SEED_4; SEED_24; N2P34; N2P54; N1P97; N2P10; N2P101; SEED_47; N1P110; SEED_18; N1P53; SEED_60; SEED_63; SEED_44; N2P50,N1P117; N0P59; N0P85; SEED_106; N2P50; N1P48; N2P54; N1P118; N0P26; SEED_110,10,,0,0,0.0
gpt-4.1,3,N3P119,literature review,30,SEED_24; SEED_50; N2P40; N2P71; N2P94; SEED_20; SEED_79; N1P56; N0P63; SEED_81; N2P116; N0P28; N1P80; SEED_110; N1P110; SEED_57; SEED_45; N0P81; N1P64; N1P43; N1P59; N0P101; N2P2; N1P60; N0P45; N0P15; SEED_16; N0P118; N1P102; N0P14,N2P40; N2P94; N2P116; N0P28; N0P101; SEED_24; SEED_57; SEED_20; N1P64; N0P118,10,,0,0,0.0
gpt-4.1,3,N3P12,position paper,30,N1P104; SEED_53; SEED_78; N0P25; N0P13; N0P78; N1P37; SEED_46; N2P30; SEED_115; N0P84; N0P21; N1P55; N0P70; N2P18; N1P29; N2P26; N2P83; N1P44; N2P65; N2P57; N1P24; N0P57; N1P109; SEED_43; N1P76; N2P107; N0P99; SEED_23; SEED_83,N1P104; N1P55; N0P25; N1P37; N0P78; SEED_23; N2P18; SEED_46; SEED_53; N0P21,10,,0,0,0.0
gpt-4.1,3,N3P13,literature review,30,N0P83; N1P15; N2P13; N1P2; SEED_103; N2P44; N2P98; N1P26; N1P49; N0P22; N1P110; SEED_95; N1P16; N2P63; N1P118; N1P96; N1P42; N1P10; N1P28; N1P83; SEED_77; N2P109; N2P58; N1P76; SEED_13; N1P44; N0P54; N0P113; N1P61; N2P23,N0P83; N1P15; N1P2; N2P63; N1P26; N2P98; SEED_103; N1P42; N2P13,9,,0,0,0.0
gpt-4.1,3,N3P14,position paper,30,SEED_55; N0P109; N2P13; N1P36; SEED_39; N2P30; SEED_106; N2P61; SEED_5; N1P101; N1P12; N1P112; SEED_65; N0P72; N2P86; N0P86; SEED_9; SEED_21; N2P37; SEED_34; N0P11; SEED_37; N2P19; N0P48; N0P106; N1P78; SEED_66; SEED_19; N0P1; N2P111,N2P86; N2P61; N0P106; N0P86; N0P72; SEED_55; SEED_39; SEED_19; SEED_65; N0P109,10,,0,0,0.0
gpt-4.1,3,N3P15,position paper,30,SEED_99; SEED_52; SEED_110; N0P3; N0P5; N0P71; SEED_11; N1P46; N0P112; SEED_109; N2P98; N0P47; SEED_45; N0P66; N2P67; SEED_4; N0P59; SEED_87; N1P13; N2P1; N0P9; N1P114; N1P64; SEED_86; SEED_78; SEED_91; N1P4; N0P65; N1P6; SEED_43,N0P5; N2P67; N2P98; N0P71; N0P3; N0P66; N1P46; N1P13; N2P1; N0P59,10,,0,0,0.0
gpt-4.1,3,N3P16,position paper,30,N1P113; SEED_25; N1P119; N1P104; N1P84; SEED_6; N2P36; N0P118; N0P23; N2P95; N2P76; N2P119; N0P18; N2P55; N0P82; N0P112; N0P68; N2P24; SEED_57; N0P45; N0P11; N2P45; N0P43; SEED_4; N1P117; N0P83; N1P6; N1P26; SEED_64; N1P45,N1P113; N0P18; N1P119; SEED_25; SEED_6; SEED_57; N2P55; N1P104; N0P82; N1P84,10,,0,0,0.0
gpt-4.1,3,N3P17,position paper,30,SEED_23; SEED_107; N2P29; N2P11; N2P0; N2P111; N1P78; N1P79; SEED_34; SEED_41; N1P82; N0P0; N2P56; SEED_3; SEED_35; N1P110; N2P65; N2P40; N2P102; SEED_68; SEED_17; SEED_5; N2P60; N0P114; N2P38; N1P98; SEED_46; N0P30; N1P59; N1P85,N0P0; N2P29; N2P38; N2P0; N0P114; SEED_23; SEED_34; SEED_41; SEED_3; N2P11,10,,0,0,0.0
gpt-4.1,3,N3P18,position paper,30,SEED_3; N0P15; N0P58; SEED_23; N1P102; N1P16; SEED_119; SEED_48; SEED_117; N0P52; N0P84; SEED_94; N1P37; N1P83; SEED_74; N2P94; N0P55; SEED_71; N0P45; N0P14; N0P69; N2P28; N2P37; N1P10; SEED_102; N1P89; SEED_28; N0P118; N0P103; N1P15,N0P103; SEED_3; N0P84; N0P58; N1P15; SEED_119; N1P16; N1P37; SEED_102; SEED_48,10,,0,0,0.0
gpt-4.1,3,N3P19,position paper,30,N2P80; N2P39; SEED_99; N1P79; N1P71; N2P106; N1P69; N2P115; N1P53; N2P86; N2P83; N1P89; N2P56; SEED_101; N1P78; N0P48; SEED_81; N0P33; N0P31; N0P30; N1P26; N2P100; N2P113; SEED_18; N2P9; N2P22; SEED_56; N0P0; SEED_91; SEED_40,N2P86; N1P69; N1P53; N2P83; N1P79; N2P100; N2P56; SEED_99; N1P26; N2P113,10,,0,0,0.0
gpt-4.1,3,N3P2,position paper,30,N2P103; N1P103; N0P10; SEED_54; N1P45; N2P25; N2P8; N2P100; N0P113; N0P84; N0P40; SEED_55; N2P61; SEED_74; N2P64; N2P6; SEED_59; N0P60; N1P19; SEED_83; N1P42; N2P46; SEED_105; N1P4; SEED_104; N2P113; N0P17; SEED_18; SEED_111; N0P100,N2P103; N1P103; N0P10; N0P40; N2P8; N0P113; SEED_55; N1P19; SEED_83; N2P64,10,,0,0,0.0
gpt-4.1,3,N3P20,literature review,30,N1P93; SEED_10; SEED_24; N1P91; N0P21; N1P15; SEED_47; N2P68; N2P84; SEED_20; N0P57; N1P114; N0P94; N2P41; N0P64; SEED_5; SEED_82; SEED_31; SEED_119; N1P40; N0P84; SEED_56; N1P34; N0P89; N2P61; N0P49; N0P90; N1P117; N2P105; N0P39,N1P93; N1P91; N0P94; N0P21; N0P39; SEED_24; SEED_47; SEED_10; SEED_20,9,,0,0,0.0
gpt-4.1,3,N3P21,position paper,30,N0P47; N0P106; N0P4; N1P60; N1P53; N2P31; N0P5; N0P82; N0P44; N1P17; N0P9; N1P38; N0P102; N0P119; SEED_53; N0P17; N2P96; SEED_101; N1P103; N2P88; N2P42; SEED_73; N2P93; N1P111; N2P20; N1P96; N2P63; N0P94; SEED_12; N1P65,N0P47; N1P38; N0P106; N0P17; N1P60; N2P20; SEED_53; N0P4; N1P96; N1P111,10,,0,0,0.0
gpt-4.1,3,N3P22,position paper,30,N1P112; N2P106; N0P113; N1P33; N0P92; N0P58; N0P17; SEED_36; N2P26; N0P1; N1P64; N2P44; N2P23; N1P63; N0P97; N1P50; N2P89; N0P10; N2P9; N1P68; N2P66; N1P31; N0P14; SEED_13; N0P84; N2P96; N1P72; SEED_83; N2P28; SEED_20,N1P112; N0P58; N1P64; N1P31; N2P106; SEED_13; SEED_20; SEED_83; N0P113; N0P17,10,,0,0,0.0
gpt-4.1,3,N3P23,literature review,30,SEED_27; SEED_58; N1P61; SEED_7; N1P20; N1P85; N1P35; SEED_84; N2P107; N2P116; N2P51; N0P77; N2P115; N0P108; N2P63; N0P58; SEED_29; N1P59; N1P109; SEED_9; N0P98; N2P97; N1P68; N0P57; SEED_25; SEED_66; N0P45; N1P33; SEED_105; N1P90,N1P35; N2P107; N0P58; N2P51; N1P68; N0P98; N1P90; N2P116; N1P33; SEED_27,10,,0,0,0.0
gpt-4.1,3,N3P24,position paper,30,SEED_80; N2P38; SEED_91; N2P36; N2P35; SEED_99; SEED_2; N0P19; N2P19; N2P86; N0P29; SEED_29; SEED_54; SEED_107; N2P83; N1P52; N1P10; N1P30; N0P102; N2P3; SEED_88; N1P29; SEED_13; N1P39; N1P1; N1P98; N1P7; N0P20; SEED_73; N0P36,N2P36; N2P35; N2P86; SEED_107; SEED_99; N2P38; N2P19; SEED_88; SEED_80; N1P98,10,,0,0,0.0
gpt-4.1,3,N3P25,literature review,30,N1P24; N0P19; N1P112; N1P80; N1P45; SEED_5; N1P106; N0P34; N1P30; N0P100; N2P20; N2P89; SEED_114; N1P15; N0P63; N1P36; N1P52; N0P116; N0P56; SEED_17; N2P50; N0P54; N1P46; SEED_93; N1P114; N2P6; N1P51; N2P74; N1P22; N2P2,N1P24; N2P20; N0P100; N1P112; N1P106; N2P50; N1P30; SEED_5,8,,0,0,0.0
gpt-4.1,3,N3P26,position paper,30,SEED_114; N2P99; N1P57; N0P86; N1P49; N0P22; N0P45; N2P78; N1P98; N2P69; N2P113; SEED_41; N0P57; SEED_2; N2P26; N2P50; N0P55; N1P19; N1P70; N2P7; SEED_52; SEED_100; N2P114; N1P63; N2P42; N2P43; N2P96; SEED_92; N1P97; N2P0,N2P99; N1P57; N0P86; N2P42; N1P49; N0P22; N2P113; N0P55; N2P0; N1P97,10,,0,0,0.0
gpt-4.1,3,N3P27,literature review,30,SEED_21; SEED_107; N0P84; N0P55; N2P19; SEED_24; N2P11; N2P108; N2P114; N2P38; N1P20; N2P105; N0P91; N0P65; N1P112; SEED_22; N2P90; N1P13; N0P105; N0P116; SEED_49; N2P10; SEED_115; N1P95; N0P96; N2P26; SEED_93; N0P90; N2P109; N1P6,N0P55; N2P19; N0P65; N0P84; SEED_22; N0P91; N2P105; SEED_107; N1P112; SEED_21,10,,0,0,0.0
gpt-4.1,3,N3P28,literature review,30,SEED_26; SEED_87; N0P81; N0P93; SEED_5; N2P79; N2P91; N2P72; SEED_44; SEED_24; N0P32; N1P110; N1P96; SEED_99; N1P43; SEED_71; N0P30; N2P93; N0P74; N0P89; N2P94; SEED_62; N2P103; N2P81; N0P116; N2P45; N0P3; N2P80; SEED_115; N1P74,N0P93; N2P79; N2P91; N1P96; SEED_24; N0P3; SEED_44; N1P74; SEED_87; SEED_99,10,,0,0,0.0
gpt-4.1,3,N3P29,literature review,30,N1P116; N1P19; N1P40; SEED_54; N2P23; N1P113; N1P7; N1P119; N0P65; N0P117; N1P112; N1P64; N0P17; N1P42; SEED_90; N0P1; N1P10; SEED_111; N2P67; N0P21; N1P11; SEED_117; N0P119; N0P63; N0P99; N2P16; N2P9; N1P118; N2P85; N2P110,N1P116; N2P23; N1P19; N1P112; SEED_90; N1P40; N0P117; N0P99; N1P113; N1P42,10,,0,0,0.0
gpt-4.1,3,N3P3,literature review,30,SEED_38; N2P15; SEED_29; SEED_36; N2P83; SEED_104; N0P3; N1P59; N2P97; N2P30; N0P31; N2P65; N2P0; N1P55; N1P6; N2P14; N0P61; N1P73; SEED_0; SEED_25; N2P50; N1P22; N2P39; N1P72; N2P108; SEED_9; SEED_81; N2P92; N1P7; N2P74,N2P30; N2P83; N2P97; N0P3; N2P50; N2P15; N1P55; N2P0; SEED_38; SEED_0,10,,0,0,0.0
gpt-4.1,3,N3P30,position paper,30,N0P20; N0P90; N1P114; N0P111; SEED_118; SEED_75; SEED_87; N2P45; N0P72; N0P0; N2P115; N2P99; SEED_56; N2P9; N1P48; N0P102; N0P99; SEED_16; N0P103; SEED_109; N1P22; N0P118; N2P117; N0P61; N0P35; N0P21; SEED_57; N1P18; SEED_110; SEED_36,N1P114; N0P20; N0P111; SEED_87; N0P72; SEED_118; N0P103; SEED_57; N2P9,9,,0,0,0.0
gpt-4.1,3,N3P31,position paper,30,N1P50; N1P106; N0P18; N1P9; N1P91; N1P58; N1P118; SEED_50; N2P2; N2P105; SEED_93; N0P68; SEED_101; N2P1; N1P88; N2P38; SEED_103; N0P13; N2P99; N2P5; N0P117; N2P118; N1P100; SEED_79; N0P20; N1P6; N0P94; N1P45; N1P62; N0P51,N1P106; N1P50; N2P1; N0P18; N0P117; N1P91; SEED_103; N1P9; N2P105; SEED_93,10,,0,0,0.0
gpt-4.1,3,N3P32,literature review,30,SEED_98; N1P23; N1P66; SEED_100; SEED_50; SEED_63; N0P116; N1P34; N0P71; N0P4; SEED_36; N1P9; N0P16; N2P75; N2P89; SEED_68; N0P114; N0P48; SEED_74; N2P63; N0P99; N0P70; SEED_81; N1P47; N1P31; N1P70; N0P36; N0P118; N0P96; SEED_97,N1P23; N1P66; N0P116; SEED_98; N0P16; N0P4; N1P9; SEED_68; SEED_63; N2P89,10,,0,0,0.0
gpt-4.1,3,N3P33,position paper,30,SEED_24; N1P30; N1P42; N2P63; N1P29; SEED_41; SEED_49; N2P105; SEED_56; N2P114; N1P14; N2P59; N2P18; SEED_9; N0P97; SEED_33; N2P82; N2P8; N1P38; N0P76; N2P0; N0P73; N2P16; N1P41; N1P9; N1P103; N2P109; SEED_85; N2P4; N2P78,N1P38; N2P0; N0P73; N1P42; N2P63; SEED_24; N2P16; N2P18; N1P9; N2P8,10,,0,0,0.0
gpt-4.1,3,N3P34,literature review,30,N0P86; N2P68; N0P115; N1P15; N2P45; N1P110; N2P108; SEED_21; SEED_79; N0P91; N2P119; N1P105; SEED_9; N1P46; N0P22; N0P37; SEED_43; N1P86; SEED_2; N2P111; N1P100; SEED_4; SEED_82; N1P35; N1P114; SEED_97; N2P37; N1P76; N1P10; N1P109,N0P86; N1P105; N2P68; N0P91; N2P37; N2P108; N0P115; N1P109; SEED_9,9,,0,0,0.0
gpt-4.1,3,N3P35,position paper,30,N0P4; SEED_101; N0P39; N0P5; N1P38; N1P97; N1P59; N1P40; N0P42; N0P102; N0P85; N2P111; N2P38; N2P102; N1P117; N2P113; N0P21; N0P1; SEED_48; SEED_15; N2P35; N2P89; N0P84; N2P24; N2P86; N2P59; N0P108; N2P18; N1P39; N2P75,N2P111; N1P59; N0P39; N1P97; SEED_48; N1P38; SEED_101; N1P40; N0P85; N0P4,10,,0,0,0.0
gpt-4.1,3,N3P36,literature review,30,N0P42; N1P116; N2P78; N0P53; N0P76; N0P12; N0P91; N0P110; N1P83; N0P44; SEED_51; SEED_100; N1P55; SEED_22; N1P45; N2P82; N0P28; SEED_32; SEED_84; N0P95; SEED_28; SEED_26; N2P88; N2P110; N2P87; N1P82; SEED_25; SEED_10; N2P60; N1P63,N1P55; N0P76; N2P78; N0P95; N0P42; SEED_22; N0P91; N2P88; N0P12; N0P44,10,,0,0,0.0
gpt-4.1,3,N3P37,position paper,30,N1P98; N1P54; N1P13; N0P114; N1P84; N1P38; N2P31; SEED_56; N0P86; N2P99; N2P87; SEED_31; N2P119; N2P36; N2P85; SEED_58; N0P28; N0P67; SEED_57; SEED_67; N1P6; N1P71; N1P12; SEED_4; N1P79; SEED_45; N2P2; N1P51; N2P102; N0P77,N1P98; N1P13; N0P114; N2P87; N1P38; N1P54; N1P84; N0P86; N2P99; N0P67,10,,0,0,0.0
gpt-4.1,3,N3P38,literature review,30,N2P70; N1P114; N2P49; N2P41; N1P21; N0P88; N1P36; N1P78; N2P104; SEED_102; N2P94; N1P80; N1P10; SEED_0; N2P50; SEED_22; N0P63; SEED_17; N2P43; N0P109; N2P101; SEED_14; SEED_71; N2P115; N2P80; N1P74; N1P59; N1P61; SEED_9; N1P95,N2P70; N1P114; N1P21; N2P94; N2P49; N0P88; SEED_0; N2P104; N1P36; N1P80,10,,0,0,0.0
gpt-4.1,3,N3P39,position paper,30,SEED_79; N2P89; N0P106; N2P56; N1P25; N2P90; SEED_55; N2P18; N0P74; N1P20; SEED_77; N0P79; N1P6; SEED_21; N1P7; N2P49; N2P33; N2P21; N1P41; SEED_109; N1P63; N0P114; SEED_16; N0P36; N0P103; SEED_29; N1P115; SEED_108; SEED_5; N1P29,N2P56; N2P89; N0P103; N0P106; SEED_55; N1P29; N1P63; N2P18; N2P90; N1P25,10,,0,0,0.0
gpt-4.1,3,N3P4,position paper,30,N1P98; N0P79; SEED_108; N2P34; SEED_60; N0P92; N0P6; SEED_80; N2P98; N1P57; N0P103; N2P72; N0P45; N2P44; N2P24; N1P4; N2P9; N2P73; N1P25; N2P26; N1P108; SEED_86; SEED_115; N1P95; SEED_16; SEED_74; N2P53; N0P55; SEED_18; N2P52,N1P98; N1P57; SEED_108; SEED_60; N2P72; N0P103; N2P98; SEED_80; SEED_86; SEED_115,10,,0,0,0.0
gpt-4.1,3,N3P40,position paper,30,N0P26; SEED_87; N1P92; N2P55; N2P108; N0P0; N0P75; N1P25; N1P58; N2P84; SEED_3; N1P84; N1P24; SEED_12; N0P43; N2P72; SEED_88; N0P95; N2P39; N2P61; SEED_5; N1P77; SEED_14; N2P37; SEED_67; N1P95; N2P29; N2P25; SEED_115; N2P97,N0P26; N1P92; N0P0; N2P55; SEED_87; N0P43; N2P108,7,,0,0,0.0
gpt-4.1,3,N3P41,position paper,30,N0P56; SEED_101; N2P18; N0P85; SEED_34; N0P114; SEED_18; N1P87; N1P51; N2P115; N2P96; N1P49; N2P109; N0P100; N1P8; SEED_87; N0P18; SEED_16; SEED_55; N0P106; N2P15; SEED_98; SEED_64; N2P112; N0P44; N1P105; N2P73; SEED_116; SEED_73; N0P6,N2P18; N0P6; N0P114; N0P85; SEED_98; N1P51; SEED_55; SEED_101; N0P106; SEED_116,10,,0,0,0.0
