model,node,prompt_id,prompt_type,n_shown,papers_shown,papers_selected,n_selected,cited_not_shown,n_cited_not_shown,n_fabricated,hallucination_rate
gemini-2.5-pro,9,N9P2,position paper,30,N5P46; N8P8; N8P38; SEED_102; N2P54; N5P78; N8P20; N6P80; N3P119; N8P114; N6P26; N8P27; SEED_23; N2P82; N8P96; SEED_99; N4P78; N1P61; N2P31; N1P98; N7P77; SEED_42; N7P8; N6P20; N8P118; N8P51; N3P16; N8P57; N8P109; N6P101,N5P46; N2P54; N1P61; N2P82; SEED_99; SEED_42; N6P80; N8P20; SEED_102; SEED_23,10,,0,0,0.0
gemini-2.5-pro,9,N9P20,position paper,30,N7P98; N8P100; N5P76; SEED_17; N0P18; SEED_57; N0P64; SEED_55; SEED_77; N0P23; N2P111; N1P12; N8P107; N1P2; N2P56; N7P119; N2P58; N7P52; N6P67; N6P0; N5P25; N7P19; N5P21; N3P72; N2P99; N7P96; N2P68; N8P35; SEED_36; N2P52,N8P100; N7P98; N7P52; N0P18; SEED_57; SEED_17; SEED_55; SEED_36; N5P21; SEED_77,10,,0,0,0.0
gemini-2.5-pro,9,N9P21,position paper,30,N4P92; N0P94; N2P90; N4P18; N6P81; N3P84; N4P61; N0P27; N3P119; N7P83; N1P107; N0P52; N0P38; N4P60; N1P115; N3P48; N3P10; N8P101; N7P61; N1P81; N5P75; N8P0; N3P110; N7P65; N2P72; N8P22; N0P89; SEED_69; N8P112; N2P115,N0P94; N4P18; N2P90; N8P22; N3P48; N0P38; N0P52; N0P89; N1P107; N4P60,10,,0,0,0.0
gemini-2.5-pro,9,N9P22,position paper,30,N3P67; N1P102; N8P72; N3P23; N7P111; N0P1; N1P61; N4P26; N7P86; N4P2; SEED_90; N6P0; N8P85; N5P26; N7P87; N4P66; N7P34; N7P7; N7P67; N6P60; N5P24; N7P78; N3P61; N4P94; N8P109; N0P43; N1P8; SEED_85; N3P15; N7P47,N7P111; N0P1; N1P102; N1P61; N4P2; N8P72; N0P43; N3P23; N4P66; N3P67,10,,0,0,0.0
gemini-2.5-pro,9,N9P23,literature review,30,N5P81; N5P60; N6P11; N4P64; N4P14; N5P106; N7P70; N3P10; N1P59; SEED_60; N5P26; N6P58; N8P95; N7P73; N4P25; N8P73; N0P109; N0P50; N4P19; N1P54; N6P89; N0P14; N1P71; SEED_105; N1P104; N8P100; N7P53; N4P20; N1P61; N7P71,N0P50; N1P54; N5P81; N4P64; N4P14; N7P70; N1P59; N4P25; SEED_60; N3P10,10,,0,0,0.0
gemini-2.5-pro,9,N9P24,literature review,30,N5P93; N5P92; N5P8; N4P115; SEED_84; N4P47; N6P20; N4P69; N5P95; N1P61; N2P105; N7P40; N8P7; N5P13; N1P39; N6P68; N0P99; N0P33; N0P48; SEED_92; N5P71; N7P14; N0P67; N3P62; N3P33; N0P112; N3P96; N6P95; N1P114; N8P30,N5P92; N5P8; N1P39; N1P61; N5P93; N0P99; N6P95; N0P112; N3P62; SEED_84,10,,0,0,0.0
gemini-2.5-pro,9,N9P25,position paper,30,N7P66; N7P23; N5P59; N7P35; N5P98; N2P16; N6P42; N5P49; SEED_76; N5P73; N8P65; N4P117; N2P25; N2P81; SEED_102; N8P58; N4P52; N1P117; SEED_56; SEED_112; N7P48; N1P3; N6P96; N1P69; N8P111; N6P7; N5P3; N1P119; N6P111; N0P65,N7P23; N2P16; N7P66; N5P59; N6P42; N5P3; N1P69; N4P52; N5P49; N1P3,10,,0,0,0.0
gemini-2.5-pro,9,N9P26,literature review,30,N7P111; N1P56; N8P108; N0P10; N2P77; N2P38; N0P53; N2P110; N8P64; SEED_77; N0P93; N3P109; N1P94; N8P15; N3P26; N1P80; N8P68; N7P6; N1P32; N0P108; N0P1; SEED_30; N1P72; N1P69; N3P6; N4P36; N6P11; N7P35; N1P33; N8P31,N8P68; N3P26; N8P108; N1P56; N7P111; N0P93; N0P53; N7P6; N1P32; N0P10,10,,0,0,0.0
gemini-2.5-pro,9,N9P27,position paper,30,N7P90; SEED_105; N4P34; N4P76; N3P13; N0P46; N3P38; N1P47; N1P97; N7P91; N7P2; N7P65; N4P20; N1P66; N7P56; N4P13; N1P3; N8P71; N6P2; N6P43; N3P85; N2P79; N6P36; N3P66; N2P102; N8P34; N6P49; N0P51; N2P50; SEED_54,N6P2; N7P90; N4P34; N0P46; N1P97; N7P91; N1P3; N0P51; N7P56; SEED_105,10,,0,0,0.0
gemini-2.5-pro,9,N9P28,literature review,30,N2P98; N3P19; N0P29; N6P103; N0P53; N5P45; N6P39; SEED_85; N5P36; N1P56; N1P95; N0P59; N1P82; SEED_7; N7P31; N6P57; N1P105; N0P31; N7P60; N6P112; N1P52; N3P111; N7P19; N8P11; N7P17; N7P116; N0P52; N6P8; N5P49; N7P84,N2P98; N3P19; N6P39; N7P19; N1P52; N0P29; N0P53; SEED_85; N1P82; N5P45,10,,0,0,0.0
gemini-2.5-pro,9,N9P29,position paper,30,N6P47; N5P86; SEED_109; N1P115; N7P64; N5P26; N3P64; N4P107; SEED_59; N8P26; N4P43; N8P47; N5P66; N7P17; N4P13; N0P45; N2P67; N7P60; N6P42; N6P59; N7P68; N6P7; SEED_81; N3P94; N7P0; N5P73; N4P75; SEED_119; N8P106; N4P47,N1P115; N7P64; N4P43; N6P47; SEED_59; SEED_119; SEED_81; N3P64; N2P67; SEED_109,10,,0,0,0.0
gemini-2.5-pro,9,N9P3,position paper,30,N0P117; N7P47; N3P28; N1P83; N3P30; N8P69; N2P13; N4P36; N1P119; SEED_61; SEED_31; N6P32; N2P53; N7P3; N2P63; N5P109; N5P35; N4P112; N2P79; N7P45; N0P77; SEED_37; N4P25; N4P1; N8P79; N4P22; N4P118; N4P21; N1P48; N1P46,N7P47; N3P28; N3P30; N0P117; N1P46; N1P119; N4P36; N2P13; N2P63; SEED_37,10,,0,0,0.0
gemini-2.5-pro,9,N9P30,position paper,30,N6P57; N6P2; N7P78; N3P17; N2P35; N5P68; SEED_21; N2P42; N4P43; N4P42; SEED_79; N1P84; N5P43; N7P43; SEED_1; SEED_41; N4P40; N2P82; N0P16; N5P48; N8P14; N4P88; SEED_101; N6P3; SEED_104; N4P21; N0P93; N3P101; N4P64; N7P42,N6P2; N7P43; N6P57; N2P42; N2P82; N0P16; N2P35; N7P78; SEED_21; SEED_41,10,,0,0,0.0
gemini-2.5-pro,9,N9P31,position paper,30,N1P17; N8P84; N1P25; N1P6; N6P22; N0P7; N7P64; N5P101; N1P38; N6P80; SEED_1; N2P37; N6P45; N0P31; N7P94; N3P77; N3P33; N3P19; N3P99; N8P71; N1P28; N4P95; N3P65; N4P78; N1P11; N2P92; N3P24; SEED_21; N0P57; N3P104,N7P94; N1P17; N6P45; N6P80; N4P95; N1P38; N0P57; N2P92; N3P99; N2P37,10,,0,0,0.0
gemini-2.5-pro,9,N9P32,position paper,30,N6P76; SEED_53; N6P62; N8P109; N6P114; SEED_14; N8P54; N3P19; N3P80; N5P15; N0P28; N7P6; SEED_58; N6P41; SEED_100; N2P8; N6P15; N0P3; N6P35; N8P111; N8P52; N6P2; N3P89; N1P13; N3P27; N6P116; N8P53; N2P101; N5P94; SEED_62,N5P15; N6P76; N6P62; N3P80; N0P28; N6P114; SEED_14; SEED_53; SEED_58; N0P3,10,,0,0,0.0
gemini-2.5-pro,9,N9P33,literature review,30,N6P39; N8P71; N4P57; N4P77; N2P36; N6P18; N8P11; N6P88; N1P119; N3P45; N2P118; N5P51; N8P30; SEED_8; N4P95; N0P30; N6P112; N5P117; N4P74; N6P95; N3P35; N2P38; SEED_119; N5P105; N3P56; N6P52; SEED_66; N0P46; N8P35; N0P44,N8P11; N4P77; N8P71; N6P39; N6P88; N1P119; N2P36; N2P118; N3P45; N6P18,10,,0,0,0.0
gemini-2.5-pro,9,N9P34,position paper,30,SEED_118; N0P20; N7P107; N2P1; N8P53; N5P37; N1P70; N6P93; N6P6; N5P96; N5P9; SEED_74; N5P43; SEED_32; N6P22; SEED_60; N1P5; N7P69; N8P56; N0P21; N3P17; SEED_64; N6P7; N6P71; N2P36; N3P73; N8P74; N1P72; N3P80; N0P115,N6P22; N7P107; N2P1; N8P53; N5P9; N1P70; N2P36; SEED_74; SEED_118; N6P93,10,,0,0,0.0
gemini-2.5-pro,9,N9P35,position paper,30,N0P80; N2P102; N1P24; N0P64; N1P60; N1P98; N3P78; N1P20; N8P118; SEED_100; N6P91; N6P104; N0P25; N5P21; N3P92; N2P47; N3P27; N8P68; N4P59; N0P109; SEED_116; N3P62; N4P21; SEED_82; N3P61; N3P2; N0P81; N8P46; N0P59; SEED_18,N3P27; N0P80; N1P24; N8P118; N2P102; SEED_18; N1P98; N3P61; N2P47; N0P64,10,,0,0,0.0
gemini-2.5-pro,9,N9P36,position paper,30,N8P19; N5P46; N1P22; N8P39; N1P103; N5P72; N0P2; N1P74; N7P104; SEED_4; N4P45; N2P116; SEED_73; N0P20; N1P5; N5P55; N7P72; N5P25; N7P86; N6P30; N8P99; N1P88; N6P69; N8P56; SEED_75; N4P37; SEED_110; N4P51; N0P93; N1P81,N5P46; N0P2; N1P103; N8P19; N1P22; N1P74; N0P93; SEED_4; N5P72; N1P81,10,,0,0,0.0
gemini-2.5-pro,9,N9P37,position paper,30,SEED_22; N8P114; N4P69; N3P1; N8P30; N3P30; N5P107; N6P84; N6P111; N4P6; N8P66; N1P102; N8P82; N2P40; N6P34; N4P10; N4P72; N0P43; N6P15; N3P24; N8P40; N2P86; N5P21; N5P100; SEED_110; SEED_77; N5P13; N3P46; SEED_7; N2P36,N3P30; N3P1; N8P114; N4P10; N0P43; N3P24; SEED_22; N4P69; N5P21; N8P40,10,,0,0,0.0
gemini-2.5-pro,9,N9P38,position paper,30,SEED_6; N6P22; N4P116; N5P8; N3P119; N1P71; N8P23; N0P3; N1P114; N8P42; N1P8; N0P13; N7P119; N8P5; N2P9; N0P106; N8P16; N4P23; N2P119; N6P37; N4P105; N3P96; N8P96; N0P55; N0P64; N1P10; N8P18; N1P19; N2P113; N6P79,N0P106; N6P22; N5P8; N8P23; N3P119; N2P119; SEED_6; N0P3; N0P13; N1P10,10,,0,0,0.0
gemini-2.5-pro,9,N9P39,position paper,30,N7P74; N7P111; N1P74; N5P48; SEED_101; N2P51; N5P20; N3P68; N8P84; N3P117; N2P94; N5P26; N1P20; N3P21; N6P11; N3P88; SEED_21; N4P118; N2P59; SEED_26; N4P76; N2P47; N0P102; N1P114; N4P44; N1P56; N7P44; N0P119; N3P93; N8P40,N7P111; N5P20; N5P48; N4P76; N3P117; N1P74; N8P40; N1P114; SEED_101; N0P119,10,,0,0,0.0
gemini-2.5-pro,9,N9P4,position paper,30,SEED_37; N4P72; N6P115; N1P92; N8P27; N8P52; N2P83; N4P90; N5P98; N0P12; SEED_71; N2P41; N8P82; SEED_53; N3P60; N6P34; N1P82; N5P38; N4P85; SEED_25; N4P64; N4P24; SEED_113; N7P40; N8P68; N5P48; N4P76; N3P104; N6P9; N4P3,N8P52; N1P92; N6P115; N5P98; N0P12; N4P72; N8P82; N1P82; SEED_37; SEED_53,10,,0,0,0.0
gemini-2.5-pro,9,N9P40,position paper,30,N3P82; N6P76; N2P63; N1P11; N6P49; N6P92; N2P2; SEED_111; N3P73; SEED_30; N2P85; N1P71; N1P7; N2P0; N1P58; N6P22; N8P97; N4P119; N8P116; N3P65; N8P61; SEED_77; SEED_10; N3P113; N8P64; SEED_92; N5P57; SEED_80; N3P103; SEED_22,N3P82; N6P76; N1P11; N1P58; N3P73; N2P63; N2P85; SEED_30; SEED_80; SEED_10,10,,0,0,0.0
gemini-2.5-pro,9,N9P41,literature review,30,N6P93; N6P84; N3P14; N0P49; N8P53; N6P34; N4P69; N0P107; N3P75; N2P89; N7P105; N8P36; N4P97; N5P27; SEED_80; N8P51; N8P83; N3P34; N7P6; SEED_1; SEED_81; N0P19; N8P1; N6P10; N4P41; N7P65; N5P96; N2P20; N2P107; N8P65,N6P93; N6P84; N8P53; N7P6; N8P36; N2P107; N8P1; SEED_80; SEED_81; SEED_1,10,,0,0,0.0
