model,node,prompt_id,prompt_type,n_shown,papers_shown,papers_selected,n_selected,cited_not_shown,n_cited_not_shown,n_fabricated,hallucination_rate
gemini-3.1-flash-lite,5,N5P107,position paper,30,N2P19; N1P15; SEED_53; N3P87; N3P74; SEED_22; N0P34; N1P24; N0P30; N3P77; N0P111; N1P50; N1P105; N4P27; N0P13; N2P43; N3P104; N1P95; N0P100; N1P87; N1P68; SEED_77; N1P10; N2P48; N0P74; N0P94; N1P119; N2P118; N3P63; N2P13,N1P15; N2P19; N3P74; SEED_53; N1P105; N0P100; N3P104; N1P95; N3P63; N1P87,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P108,position paper,30,N0P37; N1P31; N4P54; N4P75; N0P103; N3P58; N0P116; N0P89; N3P64; N2P85; N0P1; N0P97; SEED_55; N4P5; SEED_93; N4P24; N2P47; N1P77; N3P34; N1P93; SEED_25; N4P18; N3P92; SEED_117; SEED_35; N0P17; N1P62; N3P37; N3P21; N2P81,N3P92; N2P81; N0P17; N1P31; N0P37; SEED_25; SEED_55; N4P75; N3P64,9,,0,0,0.0
gemini-3.1-flash-lite,5,N5P109,position paper,30,N1P90; N4P86; N4P91; N2P11; SEED_74; N0P47; N1P76; N0P2; N3P27; N3P48; N2P89; N3P14; N4P57; SEED_118; N1P57; N4P69; N1P105; N4P1; N3P62; N3P84; N3P113; N3P114; N4P88; N1P75; N1P64; N2P57; N2P38; SEED_117; N0P67; N0P7,N0P47; N1P76; N3P14; N4P69; N3P48; N1P90; SEED_117; N0P2; N1P64; N1P105,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P11,position paper,30,N3P110; N4P88; SEED_117; N3P87; N0P0; N3P64; N4P103; N1P75; N3P83; N3P50; N1P86; N3P28; SEED_75; N0P61; N4P20; N0P99; N4P93; N0P18; N1P84; N4P75; N2P118; N1P90; N1P109; N1P57; SEED_76; SEED_96; N2P43; SEED_52; N4P82; N2P83,N3P110; N4P88; N3P64; N3P50; SEED_52; SEED_117; SEED_96; SEED_75; N0P61; SEED_76,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P110,position paper,30,N2P85; N3P16; N1P106; N4P108; N1P63; N1P4; N0P28; N4P13; SEED_18; N1P25; SEED_68; N1P118; N1P59; N0P89; N1P87; N3P9; N3P42; N1P105; N3P18; N3P110; N0P90; N2P103; N0P98; N4P102; N0P16; N1P107; N1P42; N3P57; N3P101; N2P108,N2P85; N3P16; N1P106; N4P108; N1P63; N1P4; N0P28; SEED_68; N1P118; N1P87,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P111,position paper,30,N4P72; SEED_103; SEED_77; N3P17; N4P17; N2P50; N1P24; N3P106; N2P118; SEED_106; SEED_18; N3P87; N4P82; N2P93; N0P61; N0P57; SEED_57; N4P81; N0P69; N2P49; N2P99; N4P36; N1P87; N2P3; N1P95; N2P85; SEED_55; SEED_112; SEED_79; SEED_74,N4P72; N3P17; N4P17; N2P50; SEED_103; SEED_55; SEED_74; SEED_18; SEED_57; N1P24,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P112,literature review,30,N3P62; N0P79; N4P109; SEED_41; SEED_102; N1P15; N4P98; N2P73; N4P114; N0P113; N0P5; N1P96; SEED_44; N4P99; N2P97; N1P33; N1P44; N1P12; SEED_1; N2P1; N4P58; N1P70; N3P43; N0P45; N4P4; N2P50; N3P94; N2P81; N1P54; N4P59,N4P4; N4P114; N4P58; SEED_41; SEED_102; SEED_1; SEED_44; N1P15; N1P54,9,,0,0,0.0
gemini-3.1-flash-lite,5,N5P113,position paper,30,N1P42; SEED_115; N4P21; N0P63; N4P95; SEED_82; N2P95; N4P14; N3P119; SEED_71; N1P10; N0P104; N3P90; N0P94; N1P1; N3P81; N2P72; SEED_63; N0P48; SEED_36; N3P96; N2P28; SEED_95; N3P104; N3P24; N4P92; N0P72; SEED_4; N3P66; SEED_78,N3P81; N4P21; N4P95; N3P24; N0P63; SEED_36; SEED_4; SEED_115; SEED_78; N0P72,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P114,position paper,30,N4P83; N1P21; N4P4; N4P96; N3P48; N3P8; N1P115; N3P35; N0P20; N2P112; N3P39; N3P86; SEED_59; N3P11; N1P35; N2P102; N4P63; N1P33; N2P113; N3P98; N0P5; N1P113; N1P7; SEED_12; N1P65; N1P22; N2P116; N4P67; N3P79; N0P107,N1P21; SEED_12; N3P8; N3P48; N4P4; N1P115; N3P35; N3P39; N2P102; N2P113,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P115,literature review,30,N4P42; N3P42; N1P35; N0P115; SEED_4; N2P90; N4P52; N1P75; N3P74; N0P108; SEED_110; N1P60; N4P89; N2P2; N3P35; N3P118; N0P38; N1P72; N3P17; N1P91; SEED_115; N4P43; N2P93; N1P59; N3P0; N1P62; N1P9; N4P69; SEED_51; N3P94,N1P75; N4P42; N1P35; SEED_4; N0P115; SEED_110; N2P90; SEED_51; N0P108; N4P52,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P116,position paper,30,N2P20; N4P110; N1P14; N3P54; N0P66; N1P33; N4P21; N1P76; N2P88; SEED_70; N2P68; N2P26; SEED_60; N1P11; N3P66; N0P67; N0P56; SEED_8; N3P31; SEED_45; N3P88; SEED_88; SEED_92; N1P47; SEED_65; N0P107; N1P78; SEED_66; N1P48; N1P111,N2P20; N1P14; N4P110; N0P66; SEED_88; SEED_65; N0P67; N1P47; N3P31; N3P88,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P117,literature review,30,N4P109; SEED_70; N4P10; N4P39; N0P105; N4P3; N2P41; N2P86; N4P24; N0P114; N4P15; N3P74; N4P82; N2P2; N0P47; N3P25; N2P47; SEED_71; N0P110; N0P50; N1P104; N2P22; N2P37; N1P109; N1P43; N4P117; N3P60; N2P58; N2P35; N2P10,N4P109; N4P10; N4P39; N4P3; SEED_70; N4P24; N0P105; N0P114; N4P15; N1P43,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P118,position paper,30,N2P110; N2P117; N0P20; N0P66; N4P99; SEED_48; N1P37; SEED_71; N1P80; N3P21; N0P24; N1P0; N3P72; N4P77; N4P8; N2P38; N1P4; SEED_107; SEED_93; N2P101; N1P99; N1P59; N2P49; SEED_73; SEED_6; SEED_83; N1P8; N3P15; N0P40; N2P60,N3P72; N3P15; N2P110; N1P8; N2P117; SEED_93; N1P0; N0P24; SEED_48; SEED_83,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P119,literature review,30,N1P91; N1P28; N1P33; N0P12; N1P98; N4P19; N0P48; SEED_61; SEED_17; N3P103; N0P58; N1P93; N4P8; N3P66; N2P17; N1P36; N1P104; N1P87; N3P31; SEED_74; SEED_18; N1P77; N2P54; N4P95; N4P58; N3P17; N1P65; N3P64; N1P30; N3P70,N0P12; N1P91; N1P28; SEED_61; SEED_74; SEED_18; N1P33; N1P104; N4P58; N1P98,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P12,literature review,30,N2P84; N0P15; N2P5; SEED_64; N0P36; N4P98; N4P58; N2P57; N3P105; N3P52; N4P40; N1P56; N0P72; N0P2; N0P21; SEED_65; N2P113; N1P101; N0P52; N3P46; N2P70; N1P94; N2P19; N4P1; N4P30; N1P92; N0P112; N4P77; N3P114; N3P83,N2P84; N2P5; N2P57; N0P15; N4P98; N0P112; SEED_64; N3P105; N2P70; N4P58,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P13,position paper,30,N3P21; N3P32; N3P18; N3P113; N1P1; N4P21; N0P84; N0P100; N4P67; N1P28; SEED_86; N3P70; SEED_23; SEED_8; N3P118; N2P42; N0P96; N3P19; N4P82; N1P111; N1P94; N0P6; N1P93; N3P16; N0P70; N2P75; N4P39; N0P111; SEED_61; N1P7,N3P21; N3P18; N1P94; N4P39; N1P1; SEED_61; SEED_23; SEED_8; N1P28; N1P7,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P14,position paper,30,N2P119; N1P65; N0P83; N0P86; N3P112; N0P90; N4P28; N3P70; SEED_114; N2P7; N2P80; N2P79; N1P116; N2P100; N0P98; SEED_20; N3P37; N2P16; N4P0; N3P32; N1P84; N3P9; N1P60; N4P61; N1P29; N2P71; N0P116; N4P94; N4P95; N1P0,N2P119; N0P83; N1P65; N4P28; N0P86; SEED_20; N3P112; N0P90; N2P7; SEED_114,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P15,literature review,30,SEED_112; N3P26; N0P55; N4P119; N1P24; N2P56; N4P79; N4P103; N4P98; N2P73; N4P45; SEED_40; N0P16; N3P85; N0P44; N3P92; N3P29; N1P57; N3P103; N0P91; N1P10; SEED_113; N0P59; N1P79; SEED_64; N1P17; N4P112; N4P73; SEED_25; N4P63,N0P55; N1P24; N4P119; SEED_25; SEED_112; SEED_64; SEED_113; SEED_40; N4P45; N2P73,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P16,position paper,30,SEED_70; N2P5; N3P66; N1P48; N0P59; SEED_108; SEED_119; N2P114; SEED_81; SEED_98; N3P92; SEED_113; N3P64; N3P103; N3P76; N1P99; N0P107; N2P3; N3P9; N4P38; N3P16; SEED_68; SEED_14; N1P53; N1P23; N4P114; N3P29; SEED_58; N4P80; SEED_94,N2P114; N3P66; N1P48; N2P5; SEED_98; SEED_14; SEED_108; SEED_94; SEED_119; N3P9,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P17,position paper,30,N3P27; N0P71; N4P15; N1P24; N0P104; N3P104; N3P118; SEED_9; N3P95; N3P17; SEED_25; N4P20; N4P73; N2P72; N2P0; SEED_72; N2P54; SEED_64; N3P64; N2P24; N3P74; N2P39; N0P115; N1P28; SEED_115; N3P57; SEED_95; N2P89; SEED_87; N2P106,N3P27; N0P71; SEED_95; N4P15; N3P118; N1P24; N3P95; SEED_87; N3P104; N2P106,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P18,literature review,30,N3P27; N0P3; N2P40; N3P64; SEED_5; N1P118; N2P9; N4P61; N0P105; N1P12; N2P3; N4P101; N3P75; N3P45; N1P54; N0P8; N3P58; N4P62; N1P106; N0P48; N4P9; N2P22; N1P26; N0P35; SEED_98; SEED_58; N0P87; N1P6; N4P22; N2P24,N3P27; N0P3; N2P40; N3P64; SEED_98; SEED_5; N1P118; N4P61; N3P75; N1P12,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P19,position paper,30,N0P8; SEED_69; N4P103; N0P42; N0P21; N1P58; N3P40; N3P62; N0P114; SEED_34; N4P116; N4P55; N4P93; N1P14; N2P69; N2P28; N2P15; N2P106; N2P18; N3P16; N3P2; N2P60; N2P68; N4P100; SEED_63; N2P105; N2P44; N3P17; SEED_86; N0P116,N4P116; N4P55; N2P106; N2P28; SEED_69; SEED_86; SEED_63; N0P21; N4P93; N2P15,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P2,literature review,30,N4P71; N1P99; N4P15; N3P50; N4P28; N1P69; N1P71; SEED_44; N2P111; N2P11; N0P57; SEED_85; N3P74; N3P83; N3P17; N0P97; N4P21; N2P58; N4P48; N1P12; N4P13; N4P52; N0P36; N2P116; N4P96; N4P95; N3P46; N0P71; N2P19; N1P1,N1P99; N4P71; N4P28; N4P15; SEED_85; N3P50; N1P71; N2P11; N4P95; N3P83,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P20,position paper,30,N2P20; N4P44; N4P96; N0P15; SEED_106; N3P99; N0P0; N4P33; N4P38; N4P72; N0P116; N1P58; N4P97; N4P19; SEED_25; N2P113; N0P2; N2P82; N1P52; N4P59; SEED_16; SEED_82; N3P19; N3P106; N3P52; N0P5; N3P51; N2P46; SEED_30; N2P115,N2P20; N4P44; N4P96; SEED_30; SEED_106; N3P99; N4P97; SEED_16; N4P38; N3P52,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P21,literature review,30,N3P30; N0P32; N2P103; SEED_109; N2P9; SEED_0; N1P77; SEED_11; SEED_111; N2P107; N0P88; N3P97; N0P108; N3P85; N1P45; N3P102; N0P75; N3P48; N4P12; N2P10; N2P34; N1P29; N3P99; SEED_80; N0P113; N1P7; SEED_48; N3P75; SEED_28; SEED_115,N3P30; N1P45; N0P32; N2P103; N2P9; SEED_28; SEED_115; SEED_0; N0P108; N3P48,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P22,literature review,30,N4P71; N1P112; N0P92; N2P50; N1P15; N2P42; N0P68; SEED_3; N0P105; N1P71; N3P102; N3P57; N0P2; N1P116; N4P48; N4P64; N4P6; N3P105; N3P86; N3P24; N2P115; SEED_13; N0P49; N1P20; N2P44; N2P106; SEED_89; N1P6; SEED_38; N0P36,N4P71; N3P102; N1P15; N0P92; SEED_3; SEED_89; SEED_13; SEED_38; N2P50; N2P42,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P23,literature review,30,N2P7; N4P43; N2P68; N3P38; N3P103; SEED_72; SEED_89; N2P30; N1P56; N3P37; N1P30; N4P96; SEED_13; N0P85; N1P65; N3P104; SEED_29; N4P89; N1P49; N4P59; N4P29; N1P61; N0P34; SEED_27; N4P28; N0P32; N2P109; N4P34; N1P1; N3P54,N2P7; N4P43; N2P68; N3P38; N3P103; SEED_89; SEED_72; SEED_27; N1P65; N3P54,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P24,position paper,30,N2P58; N3P50; N4P109; N2P60; N1P61; N2P35; SEED_86; SEED_30; N4P22; N3P56; N1P7; N4P81; N4P71; N3P16; N4P97; N4P52; N3P58; N0P112; N3P67; N0P2; N2P1; N1P30; N4P17; N0P55; N2P112; N4P68; N3P36; N1P21; SEED_65; N3P66,N2P58; N1P61; SEED_65; N3P50; N1P7; SEED_30; SEED_86; N3P16; N4P22,9,,0,0,0.0
gemini-3.1-flash-lite,5,N5P25,literature review,30,N2P70; N0P74; N1P59; N2P76; N1P36; SEED_115; N2P59; N1P105; N3P36; SEED_110; N2P118; N1P42; N2P89; N3P106; N0P40; N4P85; N2P82; N3P66; N4P1; N3P73; N0P86; N4P70; N1P92; N0P105; N0P8; SEED_32; N0P21; N0P49; N2P98; N2P95,N2P76; N0P86; N1P36; N2P59; N1P59; N0P40; N0P21; N2P98; SEED_115; N2P70,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P26,position paper,30,N3P36; N4P91; N1P69; N3P38; N1P102; N0P35; N2P20; N3P33; N3P25; N4P55; SEED_106; SEED_119; N2P0; SEED_68; SEED_103; N0P12; N3P41; N2P63; N1P22; N1P95; N3P89; N1P75; N2P91; N1P36; N2P89; N0P1; N1P71; SEED_39; N3P28; SEED_27,N3P36; N1P69; N3P38; N4P55; SEED_103; SEED_27; SEED_68; SEED_119; SEED_39; N2P20,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P27,literature review,30,SEED_16; N2P4; N4P119; N0P61; N4P112; N3P63; N1P28; N4P86; N4P99; N1P71; N1P4; N2P93; N0P65; N2P75; N3P26; SEED_20; N3P43; N0P119; N3P119; N4P84; SEED_102; N0P118; N0P39; SEED_7; N4P90; N4P35; N0P70; N4P68; N0P72; N4P55,N3P43; N4P119; N4P86; SEED_16; N0P118; N1P4; N1P28; N0P119; N4P112; SEED_20,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P28,position paper,30,N4P95; SEED_48; N4P94; N4P73; N1P33; N0P96; N0P91; N3P109; SEED_33; N4P107; N2P14; N0P63; N2P94; N0P27; N1P11; N4P82; N0P44; SEED_119; N0P75; N4P23; SEED_27; N0P18; N1P77; N4P0; SEED_99; SEED_112; SEED_36; N2P24; N0P42; N0P119,N4P107; N4P73; N1P33; N0P27; SEED_99; SEED_36; SEED_33; SEED_27; SEED_112; N0P42,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P29,position paper,30,N3P118; N1P33; N3P19; N1P58; SEED_9; N1P100; N4P25; N0P27; N4P117; SEED_23; N4P0; N4P4; N4P74; N4P58; N3P63; N0P37; SEED_115; N3P44; N4P2; N3P80; N1P24; N0P18; N3P109; N1P104; N0P6; N4P83; N0P44; N3P85; N2P64; N3P53,N3P19; N4P74; N1P58; N4P25; N0P27; SEED_9; N4P58; N1P104; N4P117; N1P100,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P3,position paper,30,N2P77; N0P61; N1P28; N2P51; N1P113; SEED_58; N4P16; N2P95; N3P28; N2P72; N0P103; N2P25; N0P26; SEED_107; N4P35; N0P65; N3P106; N1P69; SEED_26; N4P93; N3P87; N3P44; N4P80; N4P90; N3P17; N3P32; N0P27; SEED_13; N3P108; N0P30,N3P106; N4P90; N1P28; N1P113; SEED_107; N2P51; SEED_13; N2P95; N3P87; N0P103,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P30,position paper,30,N3P0; N3P40; N3P103; SEED_68; N4P58; N2P43; N0P78; N1P98; N4P7; SEED_114; N4P105; N2P35; N4P44; N4P81; SEED_74; N1P91; N0P40; N1P100; N1P74; N2P119; N1P60; SEED_99; N2P65; N3P1; N4P70; N1P112; SEED_115; N4P79; N0P109; N1P48,N3P103; N3P0; N4P58; SEED_68; SEED_99; SEED_74; SEED_115; N4P44; N4P7; N1P48,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P31,literature review,30,N0P1; SEED_5; N4P119; N1P81; SEED_37; N3P78; SEED_6; N4P92; SEED_74; SEED_23; N2P113; N4P108; N2P71; N0P21; N2P66; N3P117; N4P19; N3P85; N1P112; N3P105; N1P56; N3P98; SEED_61; N4P35; SEED_70; N1P72; N1P6; N1P106; N3P103; N3P43,N0P1; N4P119; N1P81; SEED_6; N3P78; SEED_74; SEED_23; SEED_5; N2P66; N4P92,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P32,position paper,30,SEED_26; N3P62; SEED_17; N2P13; N4P59; N0P101; N4P9; N4P43; N2P89; N3P119; N1P24; N3P22; N1P25; N2P50; N0P74; N1P6; N3P31; SEED_7; N3P51; N4P54; N2P12; N3P0; N1P80; N0P61; N1P96; N4P25; N2P77; N3P10; N4P55; N3P117,N2P13; N4P55; N4P9; N1P80; N4P59; SEED_26; SEED_17; N0P101; N1P24; N2P89,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P33,position paper,30,N1P115; N2P53; N3P4; SEED_98; N4P95; N1P2; N1P114; N1P65; N0P13; SEED_12; N3P33; SEED_3; N1P53; N0P87; N1P13; N4P34; N0P117; N2P79; N2P92; N3P94; N4P83; N2P55; N1P78; N0P36; N1P41; N3P22; N1P37; SEED_94; N4P71; N4P21,N1P115; N1P114; SEED_98; N4P95; SEED_94; SEED_12; N1P2; N4P71,8,,0,0,0.0
gemini-3.1-flash-lite,5,N5P34,literature review,30,N2P81; SEED_29; N3P105; N2P106; N1P72; N1P60; SEED_80; N4P6; SEED_59; N3P81; N1P37; SEED_106; N3P70; N4P116; N0P65; N3P102; N3P23; N1P3; N4P31; N1P55; N3P82; N1P8; N2P24; N2P40; N0P19; N4P39; N3P55; N3P46; N3P21; N2P95,N3P105; N2P81; N1P72; N2P106; SEED_106; N1P60; SEED_80; SEED_29; N4P116; N1P3,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P35,literature review,30,N1P60; N2P106; N2P28; N3P73; N3P58; N4P113; SEED_46; SEED_102; N4P49; N3P40; SEED_94; N4P95; N0P69; N3P119; N4P76; N2P34; SEED_17; N0P58; N4P66; N2P2; N4P17; N3P117; SEED_29; N3P19; N3P118; N0P82; N1P0; N0P15; N4P116; SEED_93,N4P95; N2P106; N3P73; SEED_46; SEED_94; SEED_102; SEED_17; SEED_93; N3P58; N2P2,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P36,literature review,30,N4P3; N2P35; N2P9; N3P21; N3P103; N2P29; N3P43; N4P18; N4P97; N2P102; N4P103; N4P110; N2P93; N4P83; SEED_108; N2P17; N3P106; N3P89; SEED_2; SEED_6; N3P36; N3P50; N2P110; N3P17; N0P71; N4P114; N4P11; N4P45; N0P24; N3P55,N2P29; SEED_6; N4P3; N4P110; SEED_108; N0P24; N3P55; N4P45; N3P89,9,,0,0,0.0
gemini-3.1-flash-lite,5,N5P37,literature review,30,N4P89; N1P83; SEED_13; N0P18; N4P8; SEED_26; N2P69; N1P108; N0P106; N2P117; SEED_21; N2P88; N2P86; N2P95; N1P27; N2P16; N4P87; N3P80; N3P48; N0P49; SEED_16; N3P106; N1P4; N2P113; N3P59; N2P90; N2P47; N2P35; N4P18; N3P52,N1P83; N4P89; N4P8; N0P18; SEED_13; SEED_26; SEED_21; N2P86; N1P27; N4P87,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P38,literature review,30,N4P24; N4P108; SEED_107; N4P72; N0P0; N2P50; N3P85; N2P27; N3P105; N1P34; SEED_33; N2P87; SEED_21; N0P1; N0P43; SEED_46; N1P23; SEED_45; SEED_7; SEED_29; N1P31; N0P80; N1P69; SEED_47; N2P108; N2P100; N2P88; N4P35; SEED_63; N0P109,N4P24; N4P108; SEED_107; SEED_33; N4P72; N0P0; SEED_47; SEED_46; SEED_63; N0P80,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P39,literature review,30,N1P97; N3P96; N3P111; N3P107; SEED_22; N4P52; N4P39; N3P4; N0P12; N0P110; N1P93; N0P73; N4P102; N0P33; N2P69; N0P118; N3P78; N0P44; SEED_42; N4P62; N2P29; N2P62; N4P75; N4P93; N0P25; N4P26; N1P64; N2P20; N1P91; N1P114,N3P96; N3P4; N1P97; N3P107; SEED_22; N3P111; N0P12; N0P110; N2P20; N1P93,10,,0,0,0.0
gemini-3.1-flash-lite,5,N5P4,literature review,30,N3P117; SEED_12; SEED_69; SEED_0; N4P81; N1P4; N0P38; N4P91; N1P14; N3P70; SEED_33; SEED_54; N1P101; N2P109; N2P79; N4P83; SEED_113; N1P119; N4P71; N4P63; SEED_10; N4P72; N4P93; N0P34; N1P111; N0P14; N4P15; N2P5; N4P5; N3P90,N3P70; N2P79; SEED_12; SEED_0; SEED_33; SEED_69; SEED_54; SEED_113; N1P101,9,,0,0,0.0
gemini-3.1-flash-lite,5,N5P40,literature review,30,N2P92; SEED_118; N3P74; SEED_42; N0P55; N4P5; N2P36; N4P73; N3P88; N4P61; N3P71; N3P108; N3P102; N2P2; N3P83; N2P7; N2P57; N1P60; N0P45; N1P95; SEED_24; SEED_117; N1P76; N4P58; N0P96; N4P48; N2P76; SEED_29; SEED_66; N4P14,N2P92; N3P74; N0P96; N4P73; N2P57; SEED_42; SEED_118; N4P61; N1P76; N4P58,10,,0,0,0.0
