annotator_id,prompt_id,seed_id,cited,submitted_at
A2,N0P102,SEED_29,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_31,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_32,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_37,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_42,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_43,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_45,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_48,1,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_58,1,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_62,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_63,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_69,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_70,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_72,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_82,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_83,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_87,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_92,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_93,1,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_94,0,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_97,1,2026-06-09 02:58:46.20249+00
A2,N0P102,SEED_99,0,2026-06-09 02:58:46.20249+00
A2,N0P104,SEED_0,0,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_1,0,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_110,1,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_111,0,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_115,1,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_117,0,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_12,0,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_13,1,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_19,0,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_2,1,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_22,1,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_24,1,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_30,1,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_32,1,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_35,0,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_36,0,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_45,0,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_52,0,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_55,0,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_62,0,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_64,0,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_67,0,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_68,0,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_70,0,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_79,0,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_84,0,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_86,1,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_89,1,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_92,0,2026-06-09 01:14:37.867456+00
A2,N0P104,SEED_97,0,2026-06-09 01:14:37.867456+00
A2,N0P106,SEED_100,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_106,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_108,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_109,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_110,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_114,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_12,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_18,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_2,1,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_22,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_26,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_27,1,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_29,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_34,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_35,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_4,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_40,1,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_42,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_5,1,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_55,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_60,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_67,1,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_69,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_72,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_75,1,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_82,1,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_84,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_87,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_88,0,2026-06-09 02:47:22.055989+00
A2,N0P106,SEED_9,1,2026-06-09 02:47:22.055989+00
A2,N0P108,SEED_10,0,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_100,1,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_101,0,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_102,1,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_108,1,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_115,0,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_116,0,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_19,1,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_23,0,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_29,0,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_3,0,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_31,0,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_34,0,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_37,1,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_41,0,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_45,0,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_48,0,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_55,0,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_57,1,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_62,0,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_70,0,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_74,0,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_79,1,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_81,0,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_84,0,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_87,0,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_9,0,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_91,1,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_98,1,2026-06-09 02:42:17.900081+00
A2,N0P108,SEED_99,0,2026-06-09 02:42:17.900081+00
A2,N0P109,SEED_0,0,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_101,0,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_105,0,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_107,0,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_11,0,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_114,1,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_115,1,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_116,0,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_13,1,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_16,0,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_23,1,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_3,1,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_34,1,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_39,0,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_40,0,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_45,0,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_46,0,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_49,0,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_52,0,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_55,1,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_56,0,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_57,0,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_65,0,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_70,0,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_71,1,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_76,0,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_91,1,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_94,0,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_95,1,2026-06-09 01:17:33.33879+00
A2,N0P109,SEED_97,0,2026-06-09 01:17:33.33879+00
A2,N0P13,SEED_0,0,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_105,0,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_108,0,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_111,0,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_114,1,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_115,1,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_118,0,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_15,0,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_16,1,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_22,1,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_24,0,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_37,0,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_38,0,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_39,0,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_41,1,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_48,0,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_51,1,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_52,0,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_53,0,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_64,1,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_70,0,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_72,1,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_78,1,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_84,0,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_85,1,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_86,0,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_89,0,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_92,0,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_94,0,2026-06-09 03:03:17.664109+00
A2,N0P13,SEED_95,0,2026-06-09 03:03:17.664109+00
A2,N0P17,SEED_10,1,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_101,0,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_104,1,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_106,0,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_114,0,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_17,0,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_19,0,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_27,1,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_29,1,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_30,0,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_34,0,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_35,0,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_36,1,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_40,0,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_42,1,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_49,1,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_52,1,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_53,0,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_56,0,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_62,0,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_66,0,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_69,1,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_8,0,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_80,1,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_88,0,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_9,0,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_90,0,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_91,0,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_98,0,2026-06-09 00:40:12.448979+00
A2,N0P17,SEED_99,0,2026-06-09 00:40:12.448979+00
A2,N0P2,SEED_101,0,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_103,0,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_110,1,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_115,0,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_12,1,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_16,1,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_24,1,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_27,0,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_29,1,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_30,0,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_31,1,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_35,0,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_4,0,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_42,0,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_45,0,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_52,0,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_54,1,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_55,0,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_60,0,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_62,0,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_65,0,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_69,0,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_73,1,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_8,0,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_84,0,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_85,1,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_9,0,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_92,1,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_96,0,2026-06-09 01:20:08.562753+00
A2,N0P2,SEED_98,0,2026-06-09 01:20:08.562753+00
A2,N0P20,SEED_10,0,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_104,0,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_106,1,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_110,0,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_112,0,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_2,0,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_25,1,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_27,0,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_28,0,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_3,0,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_31,0,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_32,1,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_35,1,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_41,1,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_43,0,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_44,0,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_48,0,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_5,1,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_53,1,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_58,0,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_6,0,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_60,0,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_69,0,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_79,0,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_8,0,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_83,1,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_95,1,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_96,0,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_97,0,2026-06-09 01:26:11.927353+00
A2,N0P20,SEED_98,1,2026-06-09 01:26:11.927353+00
A2,N0P21,SEED_101,0,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_106,0,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_115,0,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_13,1,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_14,0,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_16,0,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_20,1,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_21,0,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_25,0,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_27,0,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_3,1,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_30,1,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_32,0,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_39,1,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_47,1,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_48,0,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_50,0,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_59,0,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_60,0,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_72,0,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_73,0,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_74,0,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_77,0,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_85,1,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_86,1,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_89,0,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_91,0,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_95,0,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_98,1,2026-06-09 02:18:46.669087+00
A2,N0P21,SEED_99,0,2026-06-09 02:18:46.669087+00
A2,N0P23,SEED_101,1,2026-06-09 00:52:24.29207+00
A2,N0P23,SEED_103,0,2026-06-09 00:52:24.29207+00
A2,N0P23,SEED_105,1,2026-06-09 00:52:24.29207+00
A2,N0P23,SEED_108,0,2026-06-09 00:52:24.29207+00
A2,N0P23,SEED_11,0,2026-06-09 00:52:24.29207+00
A2,N0P23,SEED_113,1,2026-06-09 00:52:24.29207+00
A2,N0P23,SEED_114,1,2026-06-09 00:52:24.29207+00
A2,N0P23,SEED_117,0,2026-06-09 00:52:24.29207+00
A2,N0P23,SEED_119,1,2026-06-09 00:52:24.29207+00
A2,N0P23,SEED_22,1,2026-06-09 00:52:24.29207+00
A2,N0P23,SEED_31,0,2026-06-09 00:52:24.29207+00
A2,N0P23,SEED_34,0,2026-06-09 00:52:24.29207+00
A2,N0P23,SEED_35,0,2026-06-09 00:52:24.29207+00
A2,N0P23,SEED_41,0,2026-06-09 00:52:24.29207+00
A2,N0P23,SEED_43,0,2026-06-09 00:52:24.29207+00
A2,N0P23,SEED_48,0,2026-06-09 00:52:24.29207+00
A2,N0P23,SEED_55,0,2026-06-09 00:52:24.29207+00
A2,N0P23,SEED_57,0,2026-06-09 00:52:24.29207+00
A2,N0P23,SEED_59,0,2026-06-09 00:52:24.29207+00
A2,N0P23,SEED_61,0,2026-06-09 00:52:24.29207+00
